pred_index,pred_time_sec,similarity,nearest_gt_dist_sec,fp_bucket
0,157.35,0.476425,97.65,offset_near_miss
1,193.389,0.540753,61.611,offset_near_miss
2,295.35,0.39465,40.35,offset_near_miss
3,384.45,0.215193,129.45,spurious_far
4,450.329,0.392367,91.671,offset_near_miss
5,501.38,0.428926,40.62,offset_near_miss
7,604.52,0.447663,62.52,offset_near_miss
8,693.08,0.457432,151.08,spurious_far
9,783.27,0.437978,161.73,spurious_far
10,861.65,0.498736,83.35,offset_near_miss
11,909.01,0.489782,35.99,offset_near_miss
13,1012.02,0.365796,67.02,offset_near_miss
14,1120.709,0.542753,175.709,spurious_far
15,1155.5,0.482559,210.5,spurious_far
16,1198.739,0.495411,191.261,spurious_far
17,1254.989,0.500663,135.011,spurious_far
18,1300.64,0.136953,89.36,offset_near_miss
19,1475.27,0.444258,85.27,offset_near_miss
20,1658.069,0.410841,268.069,spurious_far
21,1747.16,0.506725,357.16,spurious_far
22,1844.319,0.377696,275.681,spurious_far
23,1934.189,0.382238,185.811,spurious_far
24,1999.329,0.298394,120.671,spurious_far
25,2051.148,0.528996,68.852,offset_near_miss
27,2127.719,0.473991,7.719,redundant_near_gt
28,2189.37,0.297744,69.37,offset_near_miss
29,2275.669,0.300486,155.669,spurious_far
30,2333.419,0.505475,213.419,spurious_far
31,2379.939,0.467568,259.939,spurious_far
32,2447.03,0.510316,327.03,spurious_far
33,2526.459,0.506554,365.541,spurious_far
34,2642.26,0.28533,249.74,spurious_far
35,2712.26,0.239898,179.74,spurious_far
36,2748.78,0.54195,143.22,spurious_far
37,2828.59,0.397615,63.41,offset_near_miss
38,2859.179,0.54756,32.821,offset_near_miss
40,2963.649,0.464415,71.649,offset_near_miss
41,2997.07,0.475769,105.07,offset_near_miss
42,3032.06,0.478685,140.06,spurious_far
43,3115.54,0.447279,223.54,spurious_far
44,3205.35,0.448862,313.35,spurious_far
45,3276.06,0.463263,384.06,spurious_far
46,3322.83,0.522373,402.17,spurious_far
47,3385.709,0.406208,339.291,spurious_far
48,3428.429,0.379377,296.571,spurious_far
49,3460.35,0.537771,264.65,spurious_far
50,3507.0,0.460413,218.0,spurious_far
51,3632.689,0.521128,92.311,offset_near_miss
53,3803.389,0.315845,78.389,offset_near_miss
54,3851.62,0.286306,126.62,spurious_far
55,3987.409,0.409552,262.409,spurious_far
56,4045.159,0.279939,314.841,spurious_far
57,4110.609,0.244928,249.391,spurious_far
58,4165.16,0.395947,194.84,spurious_far
59,4253.79,0.502211,106.21,offset_near_miss
60,4308.2,0.391289,51.8,offset_near_miss
62,4392.129,0.295208,32.129,offset_near_miss
63,4491.0,0.406115,131.0,spurious_far
64,4536.529,0.398267,176.529,spurious_far
65,4566.709,0.44024,160.291,spurious_far
66,4610.419,0.3426,116.581,offset_near_miss
67,4645.569,0.461117,81.431,offset_near_miss
