Model,Lecture,Precision,Recall,F1,Predicted Boundaries,Ground Truth Boundaries
Baseline,lecture1,0.268,0.7879,0.4,97,33
Marker,lecture1,0.2927,0.3636,0.3243,41,33
Filler,lecture1,0.224,0.8485,0.3544,125,33
Slide,lecture1,0.25,0.1212,0.1633,16,33
+Marker,lecture1,0.2571,0.8182,0.3913,105,33
+Filler,lecture1,0.1987,0.9394,0.328,156,33
+Slide,lecture1,0.2524,0.7879,0.3824,103,33
All,lecture1,0.1867,0.9394,0.3116,166,33
Baseline,lecture2,0.3043,0.8571,0.4492,138,49
Marker,lecture2,0.325,0.2653,0.2921,40,49
Filler,lecture2,0.2593,0.7143,0.3804,135,49
Slide,lecture2,0.4286,0.1837,0.2571,21,49
+Marker,lecture2,0.3061,0.9184,0.4592,147,49
+Filler,lecture2,0.2553,0.9796,0.4051,188,49
+Slide,lecture2,0.2966,0.8776,0.4433,145,49
All,lecture2,0.25,1.0,0.4,196,49
Baseline,lecture3,0.1954,0.7083,0.3063,87,24
Marker,lecture3,0.2222,0.3333,0.2667,36,24
Filler,lecture3,0.1855,0.9583,0.3108,124,24
Slide,lecture3,0.1429,0.0417,0.0645,7,24
+Marker,lecture3,0.1748,0.75,0.2835,103,24
+Filler,lecture3,0.16,1.0,0.2759,150,24
+Slide,lecture3,0.191,0.7083,0.3009,89,24
All,lecture3,0.1529,1.0,0.2652,157,24
Baseline,lecture4,0.2247,0.5882,0.3252,89,34
Marker,lecture4,0.2826,0.3824,0.325,46,34
Filler,lecture4,0.2308,0.7059,0.3478,104,34
Slide,lecture4,0.0,0.0,0.0,8,34
+Marker,lecture4,0.2174,0.7353,0.3356,115,34
+Filler,lecture4,0.2029,0.8235,0.3256,138,34
+Slide,lecture4,0.2222,0.5882,0.3226,90,34
All,lecture4,0.1908,0.8529,0.3118,152,34
