Setting,Lecture,Stage1,Stage1 Boundaries,Stage2 Threshold,Stage2 Min-distance,Precision,Recall,F1,Predicted Boundaries,Fine GT Boundaries,tp,fp,fn
Baseline,lecture1,none,0,0.55,30s,0.3117,0.7273,0.4364,77,33,24,53,9
Baseline,lecture2,none,0,0.55,30s,0.381,0.8163,0.5195,105,49,40,65,9
Baseline,lecture3,none,0,0.55,30s,0.2319,0.6667,0.3441,69,24,16,53,8
Baseline,lecture4,none,0,0.55,30s,0.2375,0.5588,0.3333,80,34,19,61,15
G1,lecture1,oracle,9,0.55,30s,0.32,0.7273,0.4444,75,33,24,51,9
G1,lecture2,oracle,11,0.55,30s,0.38,0.7755,0.5101,100,49,38,62,11
G1,lecture3,oracle,10,0.55,30s,0.2353,0.6667,0.3478,68,24,16,52,8
G1,lecture4,oracle,9,0.55,30s,0.2436,0.5588,0.3393,78,34,19,59,15
G3,lecture1,predicted,7,0.55,30s,0.32,0.7273,0.4444,75,33,24,51,9
G3,lecture2,predicted,10,0.55,30s,0.3627,0.7551,0.4901,102,49,37,65,12
G3,lecture3,predicted,7,0.55,30s,0.2206,0.625,0.3261,68,24,15,53,9
G3,lecture4,predicted,9,0.55,30s,0.25,0.5294,0.3396,72,34,18,54,16
G2_t05_md15,lecture1,oracle,9,0.5,15s,0.2464,0.5152,0.3333,69,33,17,52,16
G2_t05_md15,lecture2,oracle,11,0.5,15s,0.3063,0.6939,0.425,111,49,34,77,15
G2_t05_md15,lecture3,oracle,10,0.5,15s,0.25,0.7083,0.3696,68,24,17,51,7
G2_t05_md15,lecture4,oracle,9,0.5,15s,0.2698,0.5,0.3505,63,34,17,46,17
G4_t05_md15,lecture1,predicted,7,0.5,15s,0.2424,0.4848,0.3232,66,33,16,50,17
G4_t05_md15,lecture2,predicted,10,0.5,15s,0.2925,0.6327,0.4,106,49,31,75,18
G4_t05_md15,lecture3,predicted,7,0.5,15s,0.2188,0.5833,0.3182,64,24,14,50,10
G4_t05_md15,lecture4,predicted,9,0.5,15s,0.2909,0.4706,0.3596,55,34,16,39,18
G2_t05_md20,lecture1,oracle,9,0.5,20s,0.2388,0.4848,0.32,67,33,16,51,17
G2_t05_md20,lecture2,oracle,11,0.5,20s,0.3402,0.6735,0.4521,97,49,33,64,16
G2_t05_md20,lecture3,oracle,10,0.5,20s,0.254,0.6667,0.3678,63,24,16,47,8
G2_t05_md20,lecture4,oracle,9,0.5,20s,0.2712,0.4706,0.3441,59,34,16,43,18
G4_t05_md20,lecture1,predicted,7,0.5,20s,0.2344,0.4545,0.3093,64,33,15,49,18
G4_t05_md20,lecture2,predicted,10,0.5,20s,0.3191,0.6122,0.4196,94,49,30,64,19
G4_t05_md20,lecture3,predicted,7,0.5,20s,0.2241,0.5417,0.3171,58,24,13,45,11
G4_t05_md20,lecture4,predicted,9,0.5,20s,0.2885,0.4412,0.3488,52,34,15,37,19
G2_t05_md30,lecture1,oracle,9,0.5,30s,0.2632,0.4545,0.3333,57,33,15,42,18
G2_t05_md30,lecture2,oracle,11,0.5,30s,0.3875,0.6327,0.4806,80,49,31,49,18
G2_t05_md30,lecture3,oracle,10,0.5,30s,0.2885,0.625,0.3947,52,24,15,37,9
G2_t05_md30,lecture4,oracle,9,0.5,30s,0.2759,0.4706,0.3478,58,34,16,42,18
G4_t05_md30,lecture1,predicted,7,0.5,30s,0.2679,0.4545,0.3371,56,33,15,41,18
G4_t05_md30,lecture2,predicted,10,0.5,30s,0.359,0.5714,0.4409,78,49,28,50,21
G4_t05_md30,lecture3,predicted,7,0.5,30s,0.2653,0.5417,0.3562,49,24,13,36,11
G4_t05_md30,lecture4,predicted,9,0.5,30s,0.2941,0.4412,0.3529,51,34,15,36,19
G2_t055_md15,lecture1,oracle,9,0.55,15s,0.2571,0.8182,0.3913,105,33,27,78,6
G2_t055_md15,lecture2,oracle,11,0.55,15s,0.2675,0.8571,0.4078,157,49,42,115,7
G2_t055_md15,lecture3,oracle,10,0.55,15s,0.1935,0.75,0.3077,93,24,18,75,6
G2_t055_md15,lecture4,oracle,9,0.55,15s,0.2188,0.6176,0.3231,96,34,21,75,13
G4_t055_md15,lecture1,predicted,7,0.55,15s,0.2524,0.7879,0.3824,103,33,26,77,7
G4_t055_md15,lecture2,predicted,10,0.55,15s,0.2645,0.8367,0.402,155,49,41,114,8
G4_t055_md15,lecture3,predicted,7,0.55,15s,0.1828,0.7083,0.2906,93,24,17,76,7
G4_t055_md15,lecture4,predicted,9,0.55,15s,0.2222,0.5882,0.3226,90,34,20,70,14
G2_t055_md20,lecture1,oracle,9,0.55,20s,0.2737,0.7879,0.4063,95,33,26,69,7
G2_t055_md20,lecture2,oracle,11,0.55,20s,0.3053,0.8163,0.4444,131,49,40,91,9
G2_t055_md20,lecture3,oracle,10,0.55,20s,0.2,0.7083,0.3119,85,24,17,68,7
G2_t055_md20,lecture4,oracle,9,0.55,20s,0.2299,0.5882,0.3306,87,34,20,67,14
G4_t055_md20,lecture1,predicted,7,0.55,20s,0.2717,0.7576,0.4,92,33,25,67,8
G4_t055_md20,lecture2,predicted,10,0.55,20s,0.2977,0.7959,0.4333,131,49,39,92,10
G4_t055_md20,lecture3,predicted,7,0.55,20s,0.1807,0.625,0.2804,83,24,15,68,9
G4_t055_md20,lecture4,predicted,9,0.55,20s,0.2317,0.5588,0.3276,82,34,19,63,15
G2_t055_md30,lecture1,oracle,9,0.55,30s,0.32,0.7273,0.4444,75,33,24,51,9
G2_t055_md30,lecture2,oracle,11,0.55,30s,0.38,0.7755,0.5101,100,49,38,62,11
