Setting,Stage1,Stage2 Threshold,Stage2 Min-distance,Precision,Recall,F1,Predicted Boundaries,Stage1 Boundaries
Baseline,none,0.55,30s,0.2905,0.6923,0.4083,82.75,0.0
G1,oracle,0.55,30s,0.2947,0.6821,0.4104,80.25,9.75
G3,predicted,0.55,30s,0.2883,0.6592,0.4001,79.25,8.25
G2_t05_md15,oracle,0.5,15s,0.2681,0.6043,0.3696,77.75,9.75
G4_t05_md15,predicted,0.5,15s,0.2611,0.5429,0.3503,72.75,8.25
G2_t05_md20,oracle,0.5,20s,0.2761,0.5739,0.371,71.5,9.75
G4_t05_md20,predicted,0.5,20s,0.2665,0.5124,0.3487,67.0,8.25
G2_t05_md30,oracle,0.5,30s,0.3038,0.5457,0.3891,61.75,9.75
G4_t05_md30,predicted,0.5,30s,0.2966,0.5022,0.3718,58.5,8.25
G2_t055_md15,oracle,0.55,15s,0.2342,0.7607,0.3575,112.75,9.75
G4_t055_md15,predicted,0.55,15s,0.2305,0.7303,0.3494,110.25,8.25
G2_t055_md20,oracle,0.55,20s,0.2522,0.7252,0.3733,99.5,9.75
G4_t055_md20,predicted,0.55,20s,0.2455,0.6843,0.3603,97.0,8.25
G2_t055_md30,oracle,0.55,30s,0.2947,0.6821,0.4104,80.25,9.75
G4_t055_md30,predicted,0.55,30s,0.2883,0.6592,0.4001,79.25,8.25
G2_t06_md15,oracle,0.6,15s,0.21,0.9021,0.3398,148.5,9.75
G4_t06_md15,predicted,0.6,15s,0.2052,0.8717,0.3312,147.25,8.25
G2_t06_md20,oracle,0.6,20s,0.2484,0.8844,0.3864,122.75,9.75
G4_t06_md20,predicted,0.6,20s,0.2405,0.8435,0.3729,121.5,8.25
G2_t06_md30,oracle,0.6,30s,0.2925,0.7877,0.4252,93.5,9.75
G4_t06_md30,predicted,0.6,30s,0.286,0.7724,0.4161,93.75,8.25
