Setting,Lecture,Stage1,Stage1 Boundaries,Stage2 Threshold,Stage2 Min-distance,Marker stage3,Markers added (dedup final),Precision,Recall,F1,Predicted Boundaries,Fine GT Boundaries,tp,fp,fn
Baseline,lecture1,none,0,0.6,30s,no,0,0.2857,0.7879,0.4194,91,33,26,65,7
Baseline,lecture2,none,0,0.6,30s,no,0,0.3739,0.8776,0.5244,115,49,43,72,6
Baseline,lecture3,none,0,0.6,30s,no,0,0.225,0.75,0.3462,80,24,18,62,6
Baseline,lecture4,none,0,0.6,30s,no,0,0.2604,0.7353,0.3846,96,34,25,71,9
G2_best,lecture1,oracle,9,0.6,30s,no,0,0.2921,0.7879,0.4262,89,33,26,63,7
G2_best,lecture2,oracle,11,0.6,30s,no,0,0.3839,0.8776,0.5342,112,49,43,69,6
G2_best,lecture3,oracle,10,0.6,30s,no,0,0.2308,0.75,0.3529,78,24,18,60,6
G2_best,lecture4,oracle,9,0.6,30s,no,0,0.2632,0.7353,0.3876,95,34,25,70,9
G4_best,lecture1,predicted,7,0.6,30s,no,0,0.2935,0.8182,0.432,92,33,27,65,6
G4_best,lecture2,predicted,10,0.6,30s,no,0,0.3652,0.8571,0.5122,115,49,42,73,7
G4_best,lecture3,predicted,7,0.6,30s,no,0,0.2125,0.7083,0.3269,80,24,17,63,7
G4_best,lecture4,predicted,9,0.6,30s,no,0,0.2727,0.7059,0.3934,88,34,24,64,10
H1,lecture1,oracle,9,0.6,30s,yes,4,0.2796,0.7879,0.4127,93,33,26,67,7
H1,lecture2,oracle,11,0.6,30s,yes,4,0.3793,0.898,0.5333,116,49,44,72,5
H1,lecture3,oracle,10,0.6,30s,yes,3,0.2346,0.7917,0.3619,81,24,19,62,5
H1,lecture4,oracle,9,0.6,30s,yes,9,0.2596,0.7941,0.3913,104,34,27,77,7
H2,lecture1,predicted,7,0.6,30s,yes,4,0.2812,0.8182,0.4186,96,33,27,69,6
H2,lecture2,predicted,10,0.6,30s,yes,4,0.3613,0.8776,0.5119,119,49,43,76,6
H2,lecture3,predicted,7,0.6,30s,yes,3,0.2169,0.75,0.3364,83,24,18,65,6
H2,lecture4,predicted,9,0.6,30s,yes,10,0.2755,0.7941,0.4091,98,34,27,71,7
