experiment_id,setting,lecture_id,pred_count,gt_count,tp,fp,fn,precision,recall,f1,tolerance_sec,notes
expA_representation,sentence_w5_t055_d20,lecture1,16,9,2,14,7,0.125,0.2222,0.16,30.0,
expA_representation,sentence_w5_t055_d20,lecture2,33,11,3,30,8,0.0909,0.2727,0.1364,30.0,
expA_representation,sentence_w5_t055_d20,lecture3,20,10,1,19,9,0.05,0.1,0.0667,30.0,
expA_representation,sentence_w5_t055_d20,lecture4,17,9,1,16,8,0.0588,0.1111,0.0769,30.0,
expA_representation,time_10s_t055_d20,lecture1,41,9,3,38,6,0.0732,0.3333,0.12,30.0,
expA_representation,time_10s_t055_d20,lecture2,47,11,1,46,10,0.0213,0.0909,0.0345,30.0,
expA_representation,time_10s_t055_d20,lecture3,33,10,3,30,7,0.0909,0.3,0.1395,30.0,
expA_representation,time_10s_t055_d20,lecture4,30,9,3,27,6,0.1,0.3333,0.1538,30.0,
expB_window_size,sentence_w5_t055_d20,lecture1,16,9,2,14,7,0.125,0.2222,0.16,30.0,
expC_boundary_rule,sentence_w3_t055_threshold_only,lecture1,145,9,6,139,3,0.0414,0.6667,0.0779,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_only,lecture2,234,11,10,224,1,0.0427,0.9091,0.0816,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_only,lecture3,138,10,7,131,3,0.0507,0.7,0.0946,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_only,lecture4,128,9,7,121,2,0.0547,0.7778,0.1022,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_localmin,lecture1,129,9,6,123,3,0.0465,0.6667,0.087,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_localmin,lecture2,211,11,10,201,1,0.0474,0.9091,0.0901,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_localmin,lecture3,122,10,7,115,3,0.0574,0.7,0.1061,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_localmin,lecture4,119,9,5,114,4,0.042,0.5556,0.0781,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_localmin_mindist,lecture1,97,9,6,91,3,0.0619,0.6667,0.1132,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_localmin_mindist,lecture2,138,11,10,128,1,0.0725,0.9091,0.1342,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_localmin_mindist,lecture3,87,10,7,80,3,0.0805,0.7,0.1443,30.0,min_distance=20.0s
expC_boundary_rule,sentence_w3_t055_threshold_localmin_mindist,lecture4,89,9,5,84,4,0.0562,0.5556,0.102,30.0,min_distance=20.0s
