experiment_family,setting,lecture,pred_count,gt_count_orig,gt_count_corrected,precision_orig,recall_orig,f1_orig,precision_corrected,recall_corrected,f1_corrected,delta_precision,delta_recall,delta_f1
expA_representation,sentence_w5_t055_d20,lecture1,16,9,9,0.125,0.2222,0.16,0.125,0.2222,0.16,0.0,0.0,0.0
expA_representation,sentence_w5_t055_d20,lecture2,33,11,11,0.0909,0.2727,0.1364,0.0909,0.2727,0.1364,0.0,0.0,0.0
expA_representation,sentence_w5_t055_d20,lecture3,20,10,10,0.05,0.1,0.0667,0.05,0.1,0.0667,0.0,0.0,0.0
expA_representation,sentence_w5_t055_d20,lecture4,17,9,9,0.0588,0.1111,0.0769,0.0588,0.1111,0.0769,0.0,0.0,0.0
expA_representation,time_10s_t055_d20,lecture1,41,9,9,0.0732,0.3333,0.12,0.0732,0.3333,0.12,0.0,0.0,0.0
expA_representation,time_10s_t055_d20,lecture2,47,11,11,0.0213,0.0909,0.0345,0.0213,0.0909,0.0345,0.0,0.0,0.0
expA_representation,time_10s_t055_d20,lecture3,33,10,10,0.0909,0.3,0.1395,0.0909,0.3,0.1395,0.0,0.0,0.0
expA_representation,time_10s_t055_d20,lecture4,30,9,9,0.1,0.3333,0.1538,0.1,0.3333,0.1538,0.0,0.0,0.0
expB_window_size,sentence_w10_t055_d20,lecture1,0,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expB_window_size,sentence_w10_t055_d20,lecture2,2,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expB_window_size,sentence_w10_t055_d20,lecture3,2,10,10,0.5,0.1,0.1667,0.5,0.1,0.1667,0.0,0.0,0.0
expB_window_size,sentence_w10_t055_d20,lecture4,1,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expB_window_size,sentence_w1_t055_d20,lecture1,143,9,9,0.0629,1.0,0.1184,0.0629,1.0,0.1184,0.0,0.0,0.0
expB_window_size,sentence_w1_t055_d20,lecture2,190,11,11,0.0579,1.0,0.1095,0.0579,1.0,0.1095,0.0,0.0,0.0
expB_window_size,sentence_w1_t055_d20,lecture3,130,10,10,0.0769,1.0,0.1429,0.0769,1.0,0.1429,0.0,0.0,0.0
expB_window_size,sentence_w1_t055_d20,lecture4,153,9,9,0.0588,1.0,0.1111,0.0588,1.0,0.1111,0.0,0.0,0.0
expB_window_size,sentence_w3_t055_d20,lecture1,97,9,9,0.0619,0.6667,0.1132,0.0619,0.6667,0.1132,0.0,0.0,0.0
expB_window_size,sentence_w3_t055_d20,lecture2,138,11,11,0.0725,0.9091,0.1342,0.0725,0.9091,0.1342,0.0,0.0,0.0
expB_window_size,sentence_w3_t055_d20,lecture3,87,10,10,0.0805,0.7,0.1443,0.0805,0.7,0.1443,0.0,0.0,0.0
expB_window_size,sentence_w3_t055_d20,lecture4,89,9,9,0.0562,0.5556,0.102,0.0562,0.5556,0.102,0.0,0.0,0.0
expB_window_size,sentence_w5_t055_d20,lecture1,16,9,9,0.125,0.2222,0.16,0.125,0.2222,0.16,0.0,0.0,0.0
expB_window_size,sentence_w5_t055_d20,lecture2,33,11,11,0.0909,0.2727,0.1364,0.0909,0.2727,0.1364,0.0,0.0,0.0
expB_window_size,sentence_w5_t055_d20,lecture3,20,10,10,0.05,0.1,0.0667,0.05,0.1,0.0667,0.0,0.0,0.0
expB_window_size,sentence_w5_t055_d20,lecture4,17,9,9,0.0588,0.1111,0.0769,0.0588,0.1111,0.0769,0.0,0.0,0.0
expB_window_size,sentence_w7_t055_d20,lecture1,1,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expB_window_size,sentence_w7_t055_d20,lecture2,4,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expB_window_size,sentence_w7_t055_d20,lecture3,3,10,10,0.3333,0.1,0.1538,0.3333,0.1,0.1538,0.0,0.0,0.0
expB_window_size,sentence_w7_t055_d20,lecture4,4,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
